,date,headline,link,time,content,time_adj,headline_text,lemma_headline,pos_headline,label_headline,cleaned
1134,2017-10-25,Introducing Amazon Cloud Cam—An Intelligent Security Camera that Works with Alexa for Only $119.99,/news-releases/news-release-details/introducing-amazon-cloud-cam-intelligent-security-camera-works,7:00 AM EDT,,9.0,introducing amazon cloud cam—an intelligent security camera that works with alexa for only     ,"['introduce', 'amazon', 'cloud', 'cam', '—', 'an', 'intelligent', 'security', 'camera', 'that', 'work', 'with', 'alexa', 'for', 'only', '    ']","['VERB', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'NOUN', 'DET', 'VERB', 'ADP', 'NOUN', 'ADP', 'ADJ', 'SPACE']",['ORG'],"['introduce', 'amazon', 'cloud', 'cam', 'intelligent', 'security', 'camera', 'work', 'alexa', 'only']"
1135,2017-10-24,AWS Announces General Availability for Amazon Aurora PostgreSQL,/news-releases/news-release-details/aws-announces-general-availability-amazon-aurora-postgresql,8:13 PM EDT,,9.0,aws announces general availability for amazon aurora postgresql,"['aws', 'announce', 'general', 'availability', 'for', 'amazon', 'aurora', 'postgresql']","['PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN']","['ORG', 'ORG']","['aws', 'announce', 'general', 'availability', 'amazon', 'aurora', 'postgresql']"
1136,2017-10-24,Amazon Business Launches Business Prime Shipping in the United States and Germany,/news-releases/news-release-details/amazon-business-launches-business-prime-shipping-united-states,11:31 AM EDT,,9.0,amazon business launches business prime shipping in the united states and germany,"['amazon', 'business', 'launches', 'business', 'prime', 'shipping', 'in', 'the', 'united', 'states', 'and', 'germany']","['PROPN', 'PROPN', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'CCONJ', 'PROPN']","['ORG', 'GPE', 'GPE']","['amazon', 'business', 'launches', 'business', 'prime', 'shipping', 'united', 'states', 'germany']"
1137,2017-10-24,Amazon Announces All-New Kindle App—Easier Than Ever to Read and Connect with Friends,/news-releases/news-release-details/amazon-announces-all-new-kindle-app-easier-ever-read-and-connect,9:00 AM EDT,,9.0,amazon announces all new kindle app—easier than ever to read and connect with friends,"['amazon', 'announce', 'all', 'new', 'kindle', 'app', '—', 'easy', 'than', 'ever', 'to', 'read', 'and', 'connect', 'with', 'friend']","['PROPN', 'VERB', 'DET', 'ADJ', 'PROPN', 'NOUN', 'PUNCT', 'ADJ', 'SCONJ', 'ADV', 'PART', 'VERB', 'CCONJ', 'VERB', 'ADP', 'NOUN']",['ORG'],"['amazon', 'announce', 'new', 'kindle', 'app', 'easy', 'read', 'connect', 'friend']"
1138,2017-10-24,"Amazon Celebrates 10 Years in Arizona; Employs 6,000 People in the Copper State",/news-releases/news-release-details/amazon-celebrates-10-years-arizona-employs-6000-people-copper,9:00 AM EDT,,9.0,amazon celebrates   years in arizona  employs     people in the copper state,"['amazon', 'celebrate', '  ', 'year', 'in', 'arizona', ' ', 'employ', '    ', 'people', 'in', 'the', 'copper', 'state']","['PROPN', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'VERB', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']","['ORG', 'DATE', 'GPE']","['amazon', 'celebrate', 'year', 'arizona', 'employ', 'people', 'copper', 'state']"
1139,2017-10-23,Amazon’s Fall 2017 Half-Hour Pilot Season Premieres on November 10 on Amazon Prime Video,/news-releases/news-release-details/amazons-fall-2017-half-hour-pilot-season-premieres-november-10,9:01 AM EDT,,9.0,amazon’s fall   half hour pilot season premieres on november   on amazon prime video,"['amazon', '’s', 'fall', '  ', 'half', 'hour', 'pilot', 'season', 'premiere', 'on', 'november', '  ', 'on', 'amazon', 'prime', 'video']","['PROPN', 'PART', 'VERB', 'SPACE', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'ADP', 'PROPN', 'ADJ', 'NOUN']","['ORG', 'TIME', 'DATE', 'ORG']","['amazon', 'fall', 'half', 'hour', 'pilot', 'season', 'premiere', 'november', 'amazon', 'prime', 'video']"
1140,2017-10-23,Your One-Stop Shop for Handcrafted Gifts: Amazon Handmade Launches the Handmade Gift Shop,/news-releases/news-release-details/your-one-stop-shop-handcrafted-gifts-amazon-handmade-launches,6:00 AM EDT,,9.0,your one stop shop for handcrafted gifts  amazon handmade launches the handmade gift shop,"['-PRON-', 'one', 'stop', 'shop', 'for', 'handcrafted', 'gift', ' ', 'amazon', 'handmade', 'launch', 'the', 'handmade', 'gift', 'shop']","['DET', 'NUM', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE', 'PROPN', 'PROPN', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN']","['CARDINAL', 'ORG']","['stop', 'shop', 'handcrafted', 'gift', 'amazon', 'handmade', 'launch', 'handmade', 'gift', 'shop']"
1141,2017-10-19,"Amazon Launches Biggest Wind Farm Yet – Company’s Renewable Energy Projects Will Together Generate Enough Clean Energy to Power More Than 330,000 Homes",/news-releases/news-release-details/amazon-launches-biggest-wind-farm-yet-companys-renewable-energy,9:01 AM EDT,,9.0,amazon launches biggest wind farm yet – company’s renewable energy projects will together generate enough clean energy to power more than     homes,"['amazon', 'launch', 'big', 'wind', 'farm', 'yet', '–', 'company', '’s', 'renewable', 'energy', 'project', 'will', 'together', 'generate', 'enough', 'clean', 'energy', 'to', 'power', 'more', 'than', '    ', 'home']","['PROPN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'PUNCT', 'NOUN', 'PART', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADV', 'SCONJ', 'SPACE', 'NOUN']",['ORG'],"['amazon', 'launch', 'big', 'wind', 'farm', 'company', 'renewable', 'energy', 'project', 'will', 'generate', 'enough', 'clean', 'energy', 'power', 'home']"
1142,2017-10-16,"Amazon.com Unwraps its 2017 Holiday Toy List, Electronics Gift Guide and Home Gift Guide",/news-releases/news-release-details/amazoncom-unwraps-its-2017-holiday-toy-list-electronics-gift,9:00 AM EDT,,9.0,amazon com unwraps its   holiday toy list  electronics gift guide and home gift guide,"['amazon', 'com', 'unwrap', '-PRON-', '  ', 'holiday', 'toy', 'list', ' ', 'electronics', 'gift', 'guide', 'and', 'home', 'gift', 'guide']","['PROPN', 'PROPN', 'VERB', 'DET', 'SPACE', 'NOUN', 'NOUN', 'NOUN', 'SPACE', 'PROPN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN']",['ORG'],"['amazon', 'com', 'unwrap', 'holiday', 'toy', 'list', 'electronics', 'gift', 'guide', 'home', 'gift', 'guide']"
1143,2017-10-12,Amazon.com to Webcast Third Quarter 2017 Financial Results Conference Call,/news-releases/news-release-details/amazoncom-webcast-third-quarter-2017-financial-results,4:01 PM EDT,,9.0,amazon com to webcast third quarter   financial results conference call,"['amazon', 'com', 'to', 'webcast', 'third', 'quarter', '  ', 'financial', 'result', 'conference', 'call']","['PROPN', 'PROPN', 'PART', 'VERB', 'ADJ', 'NOUN', 'SPACE', 'ADJ', 'NOUN', 'NOUN', 'NOUN']","['ORG', 'DATE']","['amazon', 'com', 'webcast', 'third', 'quarter', 'financial', 'result', 'conference', 'call']"
